"reporting_year","station_eu_code","date","PM2,5"
2020,"IT0945A",2020-03-12,24
2020,"IT0945A",2020-03-13,16
2020,"IT0945A",2020-03-14,15
2020,"IT0945A",2020-03-15,6
2020,"IT0945A",2020-03-16,8
2020,"IT0945A",2020-03-17,19
2020,"IT0945A",2020-03-18,19
2020,"IT0945A",2020-03-20,22
2020,"IT0945A",2020-03-21,24
2020,"IT0945A",2020-03-22,14
2020,"IT0945A",2020-03-23,5
2020,"IT0945A",2020-03-24,8
2020,"IT0945A",2020-03-25,10
2020,"IT0945A",2020-03-26,7
2020,"IT0945A",2020-03-27,13
2020,"IT0945A",2020-03-28,38
2020,"IT0945A",2020-03-29,20
2020,"IT0945A",2020-03-30,13
2020,"IT0945A",2020-03-31,5
2020,"IT0945A",2020-04-01,8
2020,"IT0945A",2020-04-02,12
2020,"IT0945A",2020-04-03,13
2020,"IT0945A",2020-04-04,14
2020,"IT0945A",2020-04-05,11
2020,"IT0945A",2020-04-06,17
2020,"IT0945A",2020-04-07,17
2020,"IT0945A",2020-04-08,12
2020,"IT0945A",2020-04-09,14
2020,"IT0945A",2020-04-10,16
2020,"IT0945A",2020-04-11,16
2020,"IT0945A",2020-04-12,13
2020,"IT0945A",2020-04-13,14
2020,"IT0945A",2020-04-14,10
2020,"IT0945A",2020-04-15,6
2020,"IT0945A",2020-04-16,10
2020,"IT0945A",2020-04-17,11
2020,"IT0945A",2020-04-18,15
2020,"IT0945A",2020-04-19,18
2020,"IT0945A",2020-04-20,9
2020,"IT0945A",2020-04-21,7
2020,"IT0945A",2020-04-22,12
2020,"IT0945A",2020-04-23,14
2020,"IT0945A",2020-04-24,16
2020,"IT0945A",2020-04-25,11
2020,"IT0945A",2020-04-26,8
2020,"IT0945A",2020-04-27,9
2020,"IT0945A",2020-04-28,9
2020,"IT0945A",2020-04-29,6
2020,"IT0945A",2020-04-30,6
2020,"IT0945A",2020-05-01,5
2020,"IT0945A",2020-05-02,7
2020,"IT0945A",2020-05-03,6
2020,"IT0945A",2020-05-04,5
2020,"IT0945A",2020-05-05,7
2020,"IT0945A",2020-05-06,8
2020,"IT0945A",2020-05-07,5
2020,"IT0945A",2020-05-08,10
2020,"IT0945A",2020-05-09,10
2020,"IT0945A",2020-05-10,10
2020,"IT0945A",2020-05-11,7
2020,"IT0945A",2020-05-12,4
2020,"IT0945A",2020-05-13,8
2020,"IT0945A",2020-05-14,13
2020,"IT0945A",2020-05-15,6
2020,"IT0945A",2020-05-16,9
2020,"IT0945A",2020-05-17,8
2020,"IT0945A",2020-05-18,10
2020,"IT0945A",2020-05-19,14
2020,"IT0945A",2020-05-20,7
2020,"IT0945A",2020-05-21,6
2020,"IT0945A",2020-05-22,10
2020,"IT0945A",2020-05-23,9
2020,"IT0945A",2020-05-24,6
2020,"IT0945A",2020-05-25,4
2020,"IT0945A",2020-05-27,5
2020,"IT0945A",2020-05-28,7
2020,"IT0945A",2020-05-29,4
2020,"IT0945A",2020-05-30,8
2020,"IT0945A",2020-05-31,10
2020,"IT0945A",2020-06-01,8
2020,"IT0945A",2020-06-02,7
2020,"IT0945A",2020-06-03,9
2020,"IT0945A",2020-06-04,9
2020,"IT0945A",2020-06-05,8
2020,"IT0945A",2020-06-06,8
2020,"IT0945A",2020-06-07,7
2020,"IT0945A",2020-06-08,7
2020,"IT0945A",2020-06-09,8
2020,"IT0945A",2020-06-10,5
2020,"IT0945A",2020-06-11,8
2020,"IT0945A",2020-06-12,8
2020,"IT0945A",2020-06-13,7
2020,"IT0945A",2020-06-14,5
2020,"IT0945A",2020-06-15,8
